Box,Artist ,Additional Artist,Album,Sub,Notes,Other markings,
#5,Paul Leoni,,Flights Of Fancy,,,NML 1002,
#5,The Midnight Sun Letkiss Jenka Band,Conducted By Harry Arnold,Let's Kiss Kiss Kiss,,,184014,
#5,Sinfonia Of London / Hollingsworth,,Lilac Time,,,LM 4,
#5,Little Richard,,At His Best Vol.2,,,SM 3647,
#5,David Lloyd And His London Orchestra,,All My Loving,,,"	184 067",
#5,Henry Loges,,Film Themes,,,184023,
#5,Los Machucambos,,Los Machucambos In Phase 4,,,PFS 34006,
#5,Loretta Lynn,,Best Of Loretta Lynn,,,MCF 2787,
#5,Loretta Lynn,,Here I Am Again,,,MPMS 2,
#5,Loretta Lynn,,I Remember Patsy,,,MCF 2807,
#5,Loretta Lynn,,Loretta Lynn's Greatest Hits Vol. II,,,MCA 420,
#5,Loretta Lynn,,You're Lookin' At Country,,,MUPS 447,
#5,Mike Oldfield,,Incantations,,,VDT101,
#5,The George Mitchell Minstrels,"Featuring Tony Mercer, John Boulter, Dai Francis With Orchestral Accomaniment Directed By George Mitchell",Here Come The Minstrels,,,CLP 3579,
#5,Olivia Newton-John,,Greatest Hits,,,EMTV 36,
#5,Roy Orbison,,The All-Time Greatest Hits Of,,,MNT 67290,
#5,Roy Orbison,,Memphis,,,SHU 8445,
#5,Michael Austin,,Organ Spectacular,,,2383227,
#5,The Original Trinidad Steel Band,,The Original Trinidad Steel Band,,,545034,
#5,Gilbert O'Sullivan,,Himself,,,MAM-SS 501,
#5,Gilbert O'Sullivan,,Gilbert O'Sullivan,,,MFP 50399,
#5,Crazy Otto,,More Crazy Otto,,,"	46362 LPHM",
#5,Albert W. Ketelbey,,In A Persian Market,,,TP 359,
#5,Buck Owens And His Buckaroos,,I Wouldn't Live In New York City,,,E-ST 628,
#5,Buck Owens,,Stars Of Country,,,5C 050-82018,
#5,Buck Owens,,The Best Of Buck Owens Vol. 3,,,E-ST 11471,
#5,Mantovani And His Orchestra,,An Evening With Mantovani,,,SKL 5172,
#5,Rick Nelson,,The Very Best Of Rick Nelson,,,SLS 50164,
#5,The New Christy Minstrels,,Merry Christmas!,,,BPG 62287,
#5,Various ,,The King And I,,,LMP 20,
#5,The New Seekers,,Farewell Album,,,2383-293,
#5,New Zealand Army Band,,Brass To Go,,,OU 2206,
#5,The Night Blooming Jazzmen,,Freedom Jazz Dance,,,MSL 1016,
#5,The Nolan Sisters,,20 Giant Hits,,,TGS 502,
